-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                   execute_context_0(0)_generation_8(8)         0.00%       0.000us         0.00%       0.000us       0.000us        1.476s        78.59%        1.476s     264.589us          5580
## Call CompiledFxGraph fksagjnduyltfpyddzdlqit56ghj...         0.00%       0.000us         0.00%       0.000us       0.000us        1.205s        64.14%        1.205s      10.211ms           118
                execute_context_1(7993)_generation_7(7)         0.00%       0.000us         0.00%       0.000us       0.000us     660.671ms        35.17%     660.671ms     660.671ms             1
                execute_context_2(7994)_generation_6(6)         0.00%       0.000us         0.00%       0.000us       0.000us     660.078ms        35.14%     660.078ms     660.078ms             1
                               vllm::moe_forward_shared         3.71%      70.360ms        26.94%     510.720ms       4.256ms     516.415ms        27.49%        1.176s       9.799ms           120
ncclDevKernel_Reduce_Sum_bf16_RING_LL(ncclDevKernelA...         0.00%       0.000us         0.00%       0.000us       0.000us     452.717ms        24.10%     452.717ms       3.773ms           120
                          _moe_C::moe_wna16_marlin_gemm         0.23%       4.348ms         2.87%      54.392ms     226.633us     339.835ms        18.09%     404.539ms       1.686ms           240
void marlin_moe_wna16::Marlin<1125899906909960l, 112...         0.00%       0.000us         0.00%       0.000us       0.000us     339.835ms        18.09%     339.835ms       1.416ms           240
                                    Command Buffer Full        22.19%     420.774ms        22.20%     420.924ms     670.262us     216.590ms        11.53%     216.590ms     344.889us           628
                                               aten::mm         1.15%      21.866ms         1.55%      29.461ms      33.214us     128.651ms         6.85%     128.651ms     145.041us           887
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     114.289ms         6.08%     114.289ms      27.205us          4201
void marlin_moe_wna16::Marlin<1125899906909960l, 112...         0.00%       0.000us         0.00%       0.000us       0.000us     108.385ms         5.77%     108.385ms      26.795us          4045
                   execute_context_0(0)_generation_7(7)         0.00%       0.000us         0.00%       0.000us       0.000us     106.744ms         5.68%     106.744ms     296.511us           360
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us      73.600ms         3.92%      73.600ms      34.783us          2116
ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDev...         0.00%       0.000us         0.00%       0.000us       0.000us      67.710ms         3.60%      67.710ms      33.470us          2023
                                       vllm::all_reduce         0.41%       7.691ms         1.76%      33.279ms     209.299us      67.708ms         3.60%      96.170ms     604.841us           159
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      67.708ms         3.60%      67.708ms     537.364us           126
