source,row_type,scenario,artifact_dir,trace_precision,profiler_mode,rank,rank_count,occurrence,category,collective_count,clock_offset_ms,clock_residual_median_abs_ms,clock_residual_p95_abs_ms,clock_residual_iqr_ms,clock_alignment_gate,wait_ms_per_step,transfer_ms_per_step,matched_collective_ms_per_step,matched_coverage_pct,real_collective_ms_per_step,sim_collective_ms_per_step,phase433_collective_bucket_ms,collective_excess_reconstructed_ms,collective_bucket_error_pct,moe_mean_ms_per_step,moe_hot_ms_per_step,moe_hot_mean_ratio,moe_hot_excess_ms_per_step,phase433_moe_excess_ms,phase433_slow_kernel_bucket_ms,wait_vs_hot_excess_error_pct,moe_excess_from_ratio_ms,moe_excess_ratio_error_pct,dual_check_gate,decode_crosscheck_available,decode_wait_ms_per_step,decode_transfer_ms_per_step,dominant_mechanism,verdict,phase435_target,precision_boundary,phase405_penalty_read,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase434_crossrank_wait_split,summary,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase433_nsys_prefill/K2.5-tp4ep8dp2-32k3k,torch_profiler_crossrank_fallback,torch_profiler_cpu_fallback,,8,,,,,11.725275,5334.809249,24.146470,low_confidence,6326.291874,120.483373,260.551348,11.498684,2265.923137,739.781362,1526.141775,1526.141775,0.000000,1143.462225,1378.906294,1.215359,235.444069,790.744777,1224.894025,96.278324,75.960740,90.393773,failed,true,30.128072,2.667943,crossrank_alignment_low_confidence,crossrank_split_low_confidence_expert_imbalance_not_confirmed,separate_nccl_wait_vs_transfer_or_build_serving_state_ep_model,torch_profiler_crossrank_end_alignment_estimate_not_nsys_wire_split,false,false,false,false,false,false,true,No-Go
phase434_crossrank_wait_split,collective_split,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase433_nsys_prefill/K2.5-tp4ep8dp2-32k3k,torch_profiler_crossrank_fallback,torch_profiler_cpu_fallback,,8,,all_collective,372,,11.725275,5334.809249,24.146470,low_confidence,6326.291874,120.483373,260.551348,11.498684,2265.923137,739.781362,1526.141775,1526.141775,0.000000,,,,,790.744777,1224.894025,96.278324,75.960740,90.393773,failed,true,30.128072,2.667943,crossrank_alignment_low_confidence,crossrank_split_low_confidence_expert_imbalance_not_confirmed,separate_nccl_wait_vs_transfer_or_build_serving_state_ep_model,torch_profiler_crossrank_end_alignment_estimate_not_nsys_wire_split,false,false,false,false,false,false,true,No-Go
phase434_crossrank_wait_split,collective_split,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase433_nsys_prefill/K2.5-tp4ep8dp2-32k3k,torch_profiler_crossrank_fallback,torch_profiler_cpu_fallback,,8,,ep_a2a,94,,11.725275,5334.809249,24.146470,low_confidence,566.877976,20.510524,27.369490,1.427172,1917.743178,497.491058,1526.141775,1420.252120,,,,,,790.744777,1224.894025,96.278324,75.960740,90.393773,failed,true,30.128072,2.667943,crossrank_alignment_low_confidence,crossrank_split_low_confidence_expert_imbalance_not_confirmed,separate_nccl_wait_vs_transfer_or_build_serving_state_ep_model,torch_profiler_crossrank_end_alignment_estimate_not_nsys_wire_split,false,false,false,false,false,false,true,No-Go
phase434_crossrank_wait_split,collective_split,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase433_nsys_prefill/K2.5-tp4ep8dp2-32k3k,torch_profiler_crossrank_fallback,torch_profiler_cpu_fallback,,8,,collective_other,225,,11.725275,5334.809249,24.146470,low_confidence,3770.874493,75.209534,170.198907,48.882454,348.179960,242.290304,1526.141775,105.889656,,,,,,790.744777,1224.894025,96.278324,75.960740,90.393773,failed,true,30.128072,2.667943,crossrank_alignment_low_confidence,crossrank_split_low_confidence_expert_imbalance_not_confirmed,separate_nccl_wait_vs_transfer_or_build_serving_state_ep_model,torch_profiler_crossrank_end_alignment_estimate_not_nsys_wire_split,false,false,false,false,false,false,true,No-Go
phase434_crossrank_wait_split,imbalance_summary,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase433_nsys_prefill/K2.5-tp4ep8dp2-32k3k,torch_profiler_crossrank_fallback,torch_profiler_cpu_fallback,,8,,,,,11.725275,5334.809249,24.146470,low_confidence,,,,,,,1526.141775,,,1143.462225,1378.906294,1.215359,235.444069,790.744777,1224.894025,96.278324,75.960740,90.393773,failed,true,30.128072,2.667943,crossrank_alignment_low_confidence,crossrank_split_low_confidence_expert_imbalance_not_confirmed,separate_nccl_wait_vs_transfer_or_build_serving_state_ep_model,torch_profiler_crossrank_end_alignment_estimate_not_nsys_wire_split,false,false,false,false,false,false,true,No-Go
phase434_crossrank_wait_split,clock_offset,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase433_nsys_prefill/K2.5-tp4ep8dp2-32k3k,torch_profiler_crossrank_fallback,torch_profiler_cpu_fallback,dp0_rank0,8,,,,0.000000,11.725275,5334.809249,24.146470,low_confidence,,,,,,,1526.141775,,,,,,,790.744777,1224.894025,96.278324,75.960740,90.393773,failed,true,30.128072,2.667943,crossrank_alignment_low_confidence,crossrank_split_low_confidence_expert_imbalance_not_confirmed,separate_nccl_wait_vs_transfer_or_build_serving_state_ep_model,torch_profiler_crossrank_end_alignment_estimate_not_nsys_wire_split,false,false,false,false,false,false,true,No-Go
phase434_crossrank_wait_split,clock_offset,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase433_nsys_prefill/K2.5-tp4ep8dp2-32k3k,torch_profiler_crossrank_fallback,torch_profiler_cpu_fallback,dp0_rank1,8,,,,0.006905,11.725275,5334.809249,24.146470,low_confidence,,,,,,,1526.141775,,,,,,,790.744777,1224.894025,96.278324,75.960740,90.393773,failed,true,30.128072,2.667943,crossrank_alignment_low_confidence,crossrank_split_low_confidence_expert_imbalance_not_confirmed,separate_nccl_wait_vs_transfer_or_build_serving_state_ep_model,torch_profiler_crossrank_end_alignment_estimate_not_nsys_wire_split,false,false,false,false,false,false,true,No-Go
phase434_crossrank_wait_split,clock_offset,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase433_nsys_prefill/K2.5-tp4ep8dp2-32k3k,torch_profiler_crossrank_fallback,torch_profiler_cpu_fallback,dp0_rank2,8,,,,-0.000026,11.725275,5334.809249,24.146470,low_confidence,,,,,,,1526.141775,,,,,,,790.744777,1224.894025,96.278324,75.960740,90.393773,failed,true,30.128072,2.667943,crossrank_alignment_low_confidence,crossrank_split_low_confidence_expert_imbalance_not_confirmed,separate_nccl_wait_vs_transfer_or_build_serving_state_ep_model,torch_profiler_crossrank_end_alignment_estimate_not_nsys_wire_split,false,false,false,false,false,false,true,No-Go
phase434_crossrank_wait_split,clock_offset,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase433_nsys_prefill/K2.5-tp4ep8dp2-32k3k,torch_profiler_crossrank_fallback,torch_profiler_cpu_fallback,dp0_rank3,8,,,,0.000005,11.725275,5334.809249,24.146470,low_confidence,,,,,,,1526.141775,,,,,,,790.744777,1224.894025,96.278324,75.960740,90.393773,failed,true,30.128072,2.667943,crossrank_alignment_low_confidence,crossrank_split_low_confidence_expert_imbalance_not_confirmed,separate_nccl_wait_vs_transfer_or_build_serving_state_ep_model,torch_profiler_crossrank_end_alignment_estimate_not_nsys_wire_split,false,false,false,false,false,false,true,No-Go
phase434_crossrank_wait_split,clock_offset,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase433_nsys_prefill/K2.5-tp4ep8dp2-32k3k,torch_profiler_crossrank_fallback,torch_profiler_cpu_fallback,dp1_rank0,8,,,,1120.699897,11.725275,5334.809249,24.146470,low_confidence,,,,,,,1526.141775,,,,,,,790.744777,1224.894025,96.278324,75.960740,90.393773,failed,true,30.128072,2.667943,crossrank_alignment_low_confidence,crossrank_split_low_confidence_expert_imbalance_not_confirmed,separate_nccl_wait_vs_transfer_or_build_serving_state_ep_model,torch_profiler_crossrank_end_alignment_estimate_not_nsys_wire_split,false,false,false,false,false,false,true,No-Go
