source,row_type,verdict,phase385_prerequisite,phase385_next_allowed_phase,decision_type,gpu_result,target_bucket_tokens,target_bucket_count,measurement_boundary,runner_boundary_api,hardware,vllm_version,topology,quant_runtime,stop_rules,artifact_contract,future_gpu_run_allowed,gpu_allowed,ssh_allowed,runtime_change,new_perfdb_data,write_real_data_file,default_aic_allowed,diagnostic_only,valid_for_default,perf_database,default_readiness,next_allowed_phase
phase386_fusedmoe_paired_bucket_gpu_run_decision_spec,phase385_prerequisite,phase385_spec_prerequisite_passed,fusedmoe_paired_bucket_gpu_data_spec_passed,phase386_fusedmoe_paired_bucket_gpu_run_decision,gpu_run_decision_spec,false,,,,,,,,,,,false,false,false,false,false,false,false,true,false,false,No-Go,
phase386_fusedmoe_paired_bucket_gpu_run_decision_spec,decision_type_locked,gpu_run_decision_spec_not_result,,,gpu_run_decision_spec,false,,,,,,,,,,,false,false,false,false,false,false,false,true,false,false,No-Go,
phase386_fusedmoe_paired_bucket_gpu_run_decision_spec,target_bucket_set_verified,seven_target_buckets_verified,,,gpu_run_decision_spec,false,2/30/32/482/3616/4096/16384,7,,,,,,,,,false,false,false,false,false,false,false,true,false,false,No-Go,
phase386_fusedmoe_paired_bucket_gpu_run_decision_spec,measurement_boundary_verified,fusedmoe_forward_runner_level_verified,,,gpu_run_decision_spec,false,,,fusedmoe_forward_runner_level,FusedMoE.forward(),,,,,,,false,false,false,false,false,false,false,true,false,false,No-Go,
phase386_fusedmoe_paired_bucket_gpu_run_decision_spec,environment_key_verified,h200_sxm_vllm019_tp4dp2ep8_verified,,,gpu_run_decision_spec,false,,,,,h200_sxm,0.19.0,tp4dp2ep8,,,,false,false,false,false,false,false,false,true,false,false,No-Go,
phase386_fusedmoe_paired_bucket_gpu_run_decision_spec,quant_runtime_verified,compressed_tensors_marlin_quant_runtime_verified,,,gpu_run_decision_spec,false,,,,,,,,CompressedTensorsWNA16MarlinMoEMethod,,,false,false,false,false,false,false,false,true,false,false,No-Go,
phase386_fusedmoe_paired_bucket_gpu_run_decision_spec,stop_rules_locked,future_gpu_run_stop_rules_locked,,,gpu_run_decision_spec,false,,,,,,,,,ptx_or_compat_error;forward_context_error;quant_runtime_mismatch;shape_or_output_non_finite;gpu_or_process_residue;missing_bucket,,false,false,false,false,false,false,false,true,false,false,No-Go,
phase386_fusedmoe_paired_bucket_gpu_run_decision_spec,artifact_contract_locked,future_gpu_artifact_contract_locked,,,gpu_run_decision_spec,false,,,,,,,,,,one_row_per_bucket_plus_error_if_stopped,false,false,false,false,false,false,false,true,false,false,No-Go,
phase386_fusedmoe_paired_bucket_gpu_run_decision_spec,gpu_run_allowed_next_phase_only,gpu_run_can_only_happen_in_phase387,,,gpu_run_decision_spec,false,,,,,,,,,,,true,false,false,false,false,false,false,true,false,false,No-Go,
phase386_fusedmoe_paired_bucket_gpu_run_decision_spec,phase386_no_gpu_no_ssh,phase386_itself_is_local_only,,,gpu_run_decision_spec,false,,,,,,,,,,,false,false,false,false,false,false,false,true,false,false,No-Go,
phase386_fusedmoe_paired_bucket_gpu_run_decision_spec,perfdb_write_blocked,no_real_table_write_in_phase386,,,gpu_run_decision_spec,false,,,,,,,,,,,false,false,false,false,false,false,false,true,false,false,No-Go,
phase386_fusedmoe_paired_bucket_gpu_run_decision_spec,default_aic_blocked,default_aic_stays_no_go,,,gpu_run_decision_spec,false,,,,,,,,,,,false,false,false,false,false,false,false,true,false,false,No-Go,
phase386_fusedmoe_paired_bucket_gpu_run_decision_spec,next_phase,next_phase_is_real_gpu_run,,,gpu_run_decision_spec,false,,,,,,,,,,,false,false,false,false,false,false,false,true,false,false,No-Go,phase387_fusedmoe_paired_bucket_gpu_run
