source,row_type,verdict,phase382_prerequisite,paired_lookup_candidate_count,ep8_bucket_formula,fusedmoe_bucket_formula,runtime_bucket_semantics_verdict,runtime_bucket_semantics_change_allowed,runtime_change_rejection_reason,selected_route,existing_rows_preserved,existing_module_row_count,fusedmoe_paired_bucket_expansion,ep8_existing_buckets,bucket_128_allowed,next_allowed_phase,gpu_allowed,ssh_allowed,runtime_change,new_perfdb_data,default_aic_allowed,diagnostic_only,valid_for_default,perf_database,default_readiness,interpolation_allowed,extrapolation_allowed,nearest_bucket_allowed
phase383_runtime_bucket_semantics_decision_spec,phase382_prerequisite,phase382_full_model_exact_lookup_blocked_confirmed,full_model_exact_lookup_blocked,0,,,,false,,,,,,,false,,false,false,false,false,false,true,false,false,No-Go,false,false,false
phase383_runtime_bucket_semantics_decision_spec,current_runtime_bucket_semantics_confirmed,current_runtime_bucket_semantics_are_correct,,,"max(1, raw_tokens//4)","max(1, raw_tokens//4)*2",correct_current_semantics,false,,,,,,,false,,false,false,false,false,false,true,false,false,No-Go,false,false,false
phase383_runtime_bucket_semantics_decision_spec,runtime_bucket_semantics_change_rejected,runtime_bucket_semantics_change_rejected,,,,,,false,would_diverge_from_real_fusedmoe_shape,,,,,,false,,false,false,false,false,false,true,false,false,No-Go,false,false,false
phase383_runtime_bucket_semantics_decision_spec,paired_bucket_data_expansion_selected,selected_route_locked,,,,,,false,,paired_bucket_data_expansion_first,,,,,false,,false,false,false,false,false,true,false,false,No-Go,false,false,false
phase383_runtime_bucket_semantics_decision_spec,existing_module_rows_preserved,preserve_existing_14_rows,,,,,,false,,,true,14,,,false,,false,false,false,false,false,true,false,false,No-Go,false,false,false
phase383_runtime_bucket_semantics_decision_spec,fusedmoe_paired_bucket_expansion_required,future_fusedmoe_paired_buckets_required,,,,,,false,,,,,2/30/32/482/3616/4096/16384,,false,,false,false,false,false,false,true,false,false,No-Go,false,false,false
phase383_runtime_bucket_semantics_decision_spec,ep8_bucket_set_preserved,existing_ep8_bucket_set_preserved,,,,,,false,,,,,,1/15/16/241/1808/2048/8192,false,,false,false,false,false,false,true,false,false,No-Go,false,false,false
phase383_runtime_bucket_semantics_decision_spec,bucket_128_blocked,bucket_128_remains_smoke_only,,,,,,false,,,,,,,false,,false,false,false,false,false,true,false,false,No-Go,false,false,false
phase383_runtime_bucket_semantics_decision_spec,perfdb_write_blocked,spec_only_no_perfdb_write,,,,,,false,,,,,,,false,,false,false,false,false,false,true,false,false,No-Go,false,false,false
phase383_runtime_bucket_semantics_decision_spec,default_aic_blocked,default_aic_stays_no_go,,,,,,false,,,,,,,false,,false,false,false,false,false,true,false,false,No-Go,false,false,false
phase383_runtime_bucket_semantics_decision_spec,next_phase,next_phase_is_paired_bucket_expansion_spec,,,,,,false,,,,,,,false,phase384_paired_bucket_expansion_spec,false,false,false,false,false,true,false,false,No-Go,false,false,false
