source,row_type,verdict,phase384_prerequisite,phase384_next_allowed_phase,target_bucket_tokens,target_bucket_count,measurement_boundary,runner_boundary_api,hardware,vllm_version,topology,quant_runtime,artifact_contract,ep8_recollection_allowed,existing_rows_preserved,existing_module_row_count,delete_existing_rows,write_real_data_file,bucket_128_allowed,gpu_allowed,ssh_allowed,runtime_change,new_perfdb_data,default_aic_allowed,diagnostic_only,valid_for_default,perf_database,default_readiness,interpolation_allowed,extrapolation_allowed,nearest_bucket_allowed,next_allowed_phase
phase385_fusedmoe_paired_bucket_gpu_data_spec,phase384_prerequisite,phase384_paired_bucket_expansion_spec_passed,paired_bucket_expansion_spec_passed,phase385_fusedmoe_paired_bucket_gpu_data_spec,,,,,,,,,,false,true,14,false,false,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase385_fusedmoe_paired_bucket_gpu_data_spec,target_bucket_set_locked,seven_fusedmoe_paired_buckets_locked,,,2/30/32/482/3616/4096/16384,7,,,,,,,,false,,,false,false,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase385_fusedmoe_paired_bucket_gpu_data_spec,measurement_boundary_locked,fusedmoe_forward_runner_level_locked,,,,,fusedmoe_forward_runner_level,FusedMoE.forward(),,,,,,false,,,false,false,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase385_fusedmoe_paired_bucket_gpu_data_spec,environment_key_locked,h200_sxm_vllm019_tp4dp2ep8_locked,,,,,,,h200_sxm,0.19.0,tp4dp2ep8,,,false,,,false,false,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase385_fusedmoe_paired_bucket_gpu_data_spec,quant_runtime_locked,compressed_tensors_marlin_quant_runtime_locked,,,,,,,,,,CompressedTensorsWNA16MarlinMoEMethod,,false,,,false,false,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase385_fusedmoe_paired_bucket_gpu_data_spec,collection_artifact_contract,future_gpu_run_artifact_contract_defined,,,,,,,,,,,one_row_per_target_bucket_with_latency_output_shape_finite_quant_cleanup,false,,,false,false,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase385_fusedmoe_paired_bucket_gpu_data_spec,no_ep8_recollection,ep8_not_recollected_in_paired_bucket_data_plan,,,,,,,,,,,,false,,,false,false,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase385_fusedmoe_paired_bucket_gpu_data_spec,preserve_existing_data_rows,preserve_existing_14_rows_and_do_not_write_table,,,,,,,,,,,,false,true,14,false,false,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase385_fusedmoe_paired_bucket_gpu_data_spec,lookup_policy_exact_only,exact_only_no_interpolation_extrapolation_or_nearest,,,,,,,,,,,,false,,,false,false,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase385_fusedmoe_paired_bucket_gpu_data_spec,bucket_128_blocked,bucket_128_remains_disallowed,,,,,,,,,,,,false,,,false,false,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase385_fusedmoe_paired_bucket_gpu_data_spec,gpu_run_deferred,phase385_does_not_use_gpu_or_ssh,,,,,,,,,,,,false,,,false,false,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase385_fusedmoe_paired_bucket_gpu_data_spec,perfdb_write_blocked,phase385_does_not_write_vllm_module_perf,,,,,,,,,,,,false,,,false,false,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase385_fusedmoe_paired_bucket_gpu_data_spec,default_aic_blocked,default_aic_stays_no_go,,,,,,,,,,,,false,,,false,false,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase385_fusedmoe_paired_bucket_gpu_data_spec,next_phase,next_phase_decides_whether_to_run_gpu,,,,,,,,,,,,false,,,false,false,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,phase386_fusedmoe_paired_bucket_gpu_run_decision
