source,row_type,verdict,phase383_prerequisite,next_allowed_phase_from_phase383,runtime_bucket_semantics_change_allowed,existing_rows_preserved,existing_module_row_count,delete_existing_rows,replace_existing_rows,ep8_existing_buckets,ep8_bucket_change_allowed,fusedmoe_existing_buckets,fusedmoe_paired_bucket_expansion,new_planned_row_count,future_total_row_count,bucket_128_allowed,exact_lookup_only,gpu_allowed,ssh_allowed,runtime_change,new_perfdb_data,write_real_data_file,default_aic_allowed,diagnostic_only,valid_for_default,perf_database,default_readiness,interpolation_allowed,extrapolation_allowed,nearest_bucket_allowed,next_allowed_phase
phase384_paired_bucket_expansion_spec,phase383_prerequisite,phase383_decision_accepts_paired_bucket_expansion_first,paired_bucket_data_expansion_first,phase384_paired_bucket_expansion_spec,false,,,false,false,,false,,,,,false,true,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase384_paired_bucket_expansion_spec,existing_vllm_module_rows_preserved,preserve_existing_14_rows,,,false,true,14,false,false,,false,,,,,false,true,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase384_paired_bucket_expansion_spec,ep8_bucket_set_preserved,ep8_bucket_set_unchanged,,,false,,,false,false,1/15/16/241/1808/2048/8192,false,,,,,false,true,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase384_paired_bucket_expansion_spec,fusedmoe_paired_bucket_expansion_planned,plan_seven_new_fusedmoe_paired_buckets,,,false,,,false,false,,false,1/15/16/241/1808/2048/8192,2/30/32/482/3616/4096/16384,7,,false,true,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase384_paired_bucket_expansion_spec,future_total_row_count_planned,future_table_would_have_21_rows_after_later_materialization,,,false,,14,false,false,,false,,,7,21,false,true,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase384_paired_bucket_expansion_spec,bucket_128_blocked,bucket_128_remains_disallowed,,,false,,,false,false,,false,,,,,false,true,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase384_paired_bucket_expansion_spec,lookup_policy_exact_only,exact_only_no_interpolation_or_nearest_lookup,,,false,,,false,false,,false,,,,,false,true,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase384_paired_bucket_expansion_spec,runtime_change_blocked,no_runtime_change_in_phase384,,,false,,,false,false,,false,,,,,false,true,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase384_paired_bucket_expansion_spec,gpu_data_collection_deferred,gpu_collection_deferred_to_later_phase,,,false,,,false,false,,false,,,,,false,true,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase384_paired_bucket_expansion_spec,perfdb_write_blocked,phase384_does_not_write_real_perfdb_data,,,false,,,false,false,,false,,,,,false,true,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase384_paired_bucket_expansion_spec,default_aic_blocked,default_aic_stays_no_go,,,false,,,false,false,,false,,,,,false,true,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,
phase384_paired_bucket_expansion_spec,next_phase,next_phase_can_design_or_collect_paired_bucket_gpu_data,,,false,,,false,false,,false,,,,,false,true,false,false,false,false,false,false,true,false,false,No-Go,false,false,false,phase385_fusedmoe_paired_bucket_gpu_data_spec
