framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,16384,6.364296468098958
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,12288,9.215521240234375
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,16384,11.52805684407552
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,12288,4.453387959798177
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,10240,4.127893320719401
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,10240,8.042812601725261
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,8192,6.145487976074219
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,8192,2.660447947184245
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,8192,1.9477973937988282
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,7168,5.031881713867188
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,7168,2.385689544677734
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,10240,2.4512255350748697
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,6144,4.368965148925781
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,6144,2.278307088216146
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,12288,3.0193471272786456
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,5120,3.4225824991861975
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,5120,1.6605738321940104
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,6144,1.3965802510579428
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,4096,2.6403284708658856
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,4096,1.4575584411621094
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,7168,1.5909088134765625
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,3584,2.1838058471679687
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,3584,1.303217061360677
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,5120,1.1459349314371745
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,3072,2.0740853627522786
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,3072,1.168768056233724
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,16384,3.9546686808268228
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,2560,1.4099732716878255
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,2560,1.0718196868896483
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,3584,0.8373834609985351
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,2048,1.229210662841797
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,2048,0.7242687861124675
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,3072,0.7402751922607422
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,1536,0.9088693618774414
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,1536,0.6402293523152669
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,4096,0.9248490651448569
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,1024,0.6169653574625651
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,1024,0.4165514628092448
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,2560,0.6379733403523763
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,768,0.47673600514729814
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,768,0.3213856061299642
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,1024,0.3512778600056966
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,512,0.3612640062967936
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,512,0.2539466698964437
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,768,0.2996629397074381
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,256,0.23111999829610191
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,256,0.20681920051574706
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,256,0.2080608050028483
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,128,0.1937130610148112
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,128,0.18331093788146974
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,2048,0.5440693537394206
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,64,0.16623892784118652
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,64,0.18472213745117189
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,32,0.16997440656026203
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,65536,32,0.18552746772766113
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,128,0.18400106430053711
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,1536,0.4568309466044108
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,65536,512,0.26416640281677245
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,16384,2.7646283467610675
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,65536,6.867780049641927
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,16384,1.7168853759765625
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,65536,11.778009033203125
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,12288,2.2327435811360674
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,12288,1.3295360565185548
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,10240,1.6989312489827473
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,10240,1.3783285776774088
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,10240,0.6727711995442708
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,8192,1.2003392537434896
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,8192,1.0463210423787435
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,12288,0.7899274826049805
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,7168,1.099127451578776
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,7168,0.7990901311238606
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,16384,1.0488661448160808
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,6144,0.9752768198649088
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,6144,0.6659264246622721
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,8192,0.5442933400472005
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,5120,0.7442464192708333
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,fp8,8192,16384,5120,0.5326208114624024
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,nvfp4,8192,16384,7168,0.44638932545979815
TRTLLM,1.2.0rc5,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,4096,0.5730197270711263
