(ApiServer_1 pid=1310) INFO:     10.102.99.37:48074 - "GET /metrics HTTP/1.1" 200 OK
(ApiServer_1 pid=1310) INFO:     10.102.99.37:43956 - "GET /metrics HTTP/1.1" 200 OK
(ApiServer_1 pid=1310) INFO:     10.102.99.37:43970 - "GET /metrics HTTP/1.1" 200 OK
(ApiServer_1 pid=1310) INFO:     10.102.194.27:47478 - "GET /metrics HTTP/1.1" 200 OK
(ApiServer_1 pid=1310) INFO:     10.102.194.40:57198 - "GET /metrics HTTP/1.1" 200 OK
(ApiServer_1 pid=1310) INFO:     10.102.99.37:38990 - "GET /metrics HTTP/1.1" 200 OK
(ApiServer_1 pid=1310) INFO:     10.102.99.37:39000 - "GET /metrics HTTP/1.1" 200 OK
(ApiServer_0 pid=1309) INFO:     10.102.99.37:39010 - "POST /v1/chat/completions HTTP/1.1" 200 OK
(ApiServer_0 pid=1309) INFO:     10.102.99.37:39042 - "POST /v1/chat/completions HTTP/1.1" 200 OK
(ApiServer_0 pid=1309) INFO:     10.102.99.37:39044 - "POST /v1/chat/completions HTTP/1.1" 200 OK
(ApiServer_0 pid=1309) INFO:     10.102.99.37:39050 - "POST /v1/chat/completions HTTP/1.1" 200 OK
(ApiServer_0 pid=1309) INFO:     10.102.99.37:39056 - "POST /v1/chat/completions HTTP/1.1" 200 OK
(ApiServer_0 pid=1309) INFO:     10.102.99.37:39132 - "POST /v1/chat/completions HTTP/1.1" 200 OK
(ApiServer_1 pid=1310) INFO:     10.102.99.37:39018 - "POST /v1/chat/completions HTTP/1.1" 200 OK
(ApiServer_1 pid=1310) INFO:     10.102.99.37:39038 - "POST /v1/chat/completions HTTP/1.1" 200 OK
(ApiServer_1 pid=1310) INFO:     10.102.99.37:39024 - "POST /v1/chat/completions HTTP/1.1" 200 OK
(ApiServer_1 pid=1310) INFO:     10.102.99.37:38990 - "POST /v1/chat/completions HTTP/1.1" 200 OK
(ApiServer_1 pid=1310) INFO:     10.102.99.37:39156 - "POST /v1/chat/completions HTTP/1.1" 200 OK
(ApiServer_1 pid=1310) INFO:     10.102.99.37:39196 - "POST /v1/chat/completions HTTP/1.1" 200 OK
